sample_id,arch,platform,clock_freq_hz,boot_console_ticks,boot_mm_ticks,boot_drivers_ticks,boot_net_ticks,boot_fs_ticks,boot_initproc_ticks,boot_scheduler_ticks
cpython_bench_bytesio-1-53bba8e1,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_chaos-1-cc721f08,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_decimal-1-8cc4fb9b,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_dict-1-eab8922a,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_fileio-1-04d12d92,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_float-1-7879d37a,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_fork-1-33bccb5d,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_hash-1-8be54887,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_json_loads-1-53466a8a,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_list-1-49cabc11,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_nbody-1-eeada99d,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_pidigits-1-75fe1e85,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_regex-1-3e66b6fe,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_richards-1-7799be4f,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_sort-1-fe641395,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_spectral_norm-1-f6c0f3fb,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_string-1-8c3588a7,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
cpython_bench_thread-1-be243ecf,la64,2k1000la,100000000,1187996205,1215127604,1215533788,1226121614,1238201751,1240403467,1240403496
