sample_id,test,benchmark,arch,platform,build_mode,cache_state,source_revision,pyperformance_revision,suite_sha256,python_version,machine,sample,phase,value,unit
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,bytes_sequential,10485760,count
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,direct_hot_read_ns,65181080,ns
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,direct_write_fsync_ns,214150310,ns
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,metadata_5000_files_ns,41170485480,ns
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,seek_truncate_fsync_ns,27733060,ns
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,sequential_hot_read_ns,200344850,ns
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,sequential_write_fsync_ns,1427214540,ns
cpython_bench_fileio-1-04d12d92,cpython_bench_fileio,bm_fileio,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,small_file_count,5000,count
cpython_bench_fork-1-33bccb5d,cpython_bench_fork,bm_fork,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,child_process_count,65,count
cpython_bench_fork-1-33bccb5d,cpython_bench_fork,bm_fork,la64,2k1000la,diag_on,warm-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,1,pipe_roundtrip_20_ns,11800445420,ns
