sample_id,test,arch,platform,build_mode,exit_status,wall_seconds,log
smolagents_import_probe-1-f9e03640,smolagents_import_probe,la64,2k1000la,production,1,49.346682542,/Users/luzimo/dev/MangoCore/target/perf-runs/20260716T102350Z-cpython-ext4-production/raw/smolagents_import_probe-1-f9e03640.log
smolagents_import_failure-1-1d1612f9,smolagents_import_failure,la64,2k1000la,production,1,8.295852208,/Users/luzimo/dev/MangoCore/target/perf-runs/20260716T102350Z-cpython-ext4-production/raw/smolagents_import_failure-1-1d1612f9.log
