sample_id,arch,platform,clock_freq_hz,boot_console_ticks,boot_mm_ticks,boot_drivers_ticks,boot_net_ticks,boot_fs_ticks,boot_initproc_ticks,boot_scheduler_ticks
qemu_rv64_anon_diag_smoke-1-9b69be92,rv64,qemu,12500000,2573425,6856992,7138791,8440125,9421673,9996524,9996784
qemu_la64_anon_diag_smoke-1-c4fcff8f,la64,qemu,100000000,81367158,104307429,112155595,130810566,145352137,151784275,151786216
board_strict_runtime_canonical-1-97b7f572,la64,2k1000la,100000000,874194548767,874221680087,874222086399,874232640554,874244731468,874246929554,874246929585
board_strict_runtime_manifest_smoke-1-d714c8a7,la64,2k1000la,100000000,874194548767,874221680087,874222086399,874232640554,874244731468,874246929554,874246929585
