sample_id,test,benchmark,arch,platform,build_mode,cache_state,source_revision,pyperformance_revision,suite_sha256,python_version,machine,status,samples,warmups,median_seconds,min_seconds,max_seconds,mean_seconds,cv_percent,error_type,error,perf_counter_resolution_seconds,tmpdir,pycache_prefix
cpython_bench_list-1-03b27467,cpython_bench_list,bm_list,la64,2k1000la,diag_on,p4-ext4-strict-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,21.226191,21.226191,21.226191,21.226191,0.0,,,1e-08,/persist/pyperf/w-vmaquant-260717-a/run-337/tmp,
cpython_bench_dict-1-96b01054,cpython_bench_dict,bm_dict,la64,2k1000la,diag_on,p4-ext4-strict-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,6.28815565,6.28815565,6.28815565,6.28815565,0.0,,,1e-08,/persist/pyperf/w-vmaquant-260717-a/run-373/tmp,
cpython_bench_bytesio-1-06ff6f2f,cpython_bench_bytesio,bm_bytesio,la64,2k1000la,diag_on,p4-ext4-strict-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,5.84121619,5.84121619,5.84121619,5.84121619,0.0,,,1e-08,/persist/pyperf/w-vmaquant-260717-a/run-409/tmp,
cpython_bench_json_loads-1-9d93ab70,cpython_bench_json_loads,bm_json_loads,la64,2k1000la,diag_on,p4-ext4-strict-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,84.95622101,84.95622101,84.95622101,84.95622101,0.0,,,1e-08,/persist/pyperf/w-vmaquant-260717-a/run-445/tmp,
cpython_bench_fork-1-9838574d,cpython_bench_fork,bm_fork,la64,2k1000la,diag_on,p4-ext4-strict-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,29.70662869,29.70662869,29.70662869,29.70662869,0.0,,,1e-08,/persist/pyperf/w-vmaquant-260717-a/run-481/tmp,
cpython_bench_thread-1-5eceb7bd,cpython_bench_thread,bm_thread,la64,2k1000la,diag_on,p4-ext4-strict-runtime,c50669c2b59a7d6d979fb12aea42c1b508ed3765,216cbeb5f828b8ee5864f9bb52f3563d2d1a4846,6a4c6a1896cbbe1ae55be8fe1149c679bacdbf4a05759b7db3280593c10e0ce1,"3.14.5 (main, Jul 17 2026, 04:01:01) [GCC 15.2.0]",la64,pass,1,1,25.52880171,25.52880171,25.52880171,25.52880171,0.0,,,1e-08,/persist/pyperf/w-vmaquant-260717-a/run-647/tmp,
