test,arch,platform,build_mode,cache_state,samples,median_seconds,min_seconds,max_seconds,cv_percent
help,la64,2k1000la,production,deployed,1,60.257831791,60.257831791,60.257831791,
native,la64,2k1000la,production,deployed,1,28.390282374999998,28.390282374999998,28.390282374999998,
paths,la64,2k1000la,production,deployed,1,20.385707667,20.385707667,20.385707667,
pyctl_get,la64,2k1000la,production,deployment,2,0.07079304149999999,0.06698679100000016,0.07459929199999982,5.376588460321812
pyctl_rm,la64,2k1000la,production,deployment,1,0.04258158299999959,0.04258158299999959,0.04258158299999959,
pyctl_run,la64,2k1000la,production,deployment,1,440.199085375,440.199085375,440.199085375,
pyctl_sha,la64,2k1000la,production,deployment,2,0.04526414600000006,0.04492045900000008,0.04560783300000004,0.7592919128530139
smolagents_toolkit_effective,la64,2k1000la,production,deployed,1,37.502218,37.502218,37.502218,
t,la64,2k1000la,production,deployed,1,62.11704999999999,62.11704999999999,62.11704999999999,
